;line;order;counter_start;counter_end;shift;puco_code;sheets;date_stop;status;minutes
143;LZ-01;10182;2622;207807;2;OGE04;0;2021-03-21 06:37:38;STOP;0 days 00:01:26
144;LZ-01;10182;2671;213208;2;RUN;5401;2021-03-21 06:46:16;RUN;0 days 00:08:38
145;LZ-01;10182;2671;213208;2;OGE04;0;2021-03-21 06:50:49;STOP;0 days 00:04:33
146;LZ-01;10182;2677;213732;2;RUN;524;2021-03-21 06:52:04;RUN;0 days 00:01:15
147;LZ-01;10182;2677;213732;2;OGE04;0;2021-03-21 07:01:09;STOP;0 days 00:09:05
148;LZ-01;10182;2677;213732;2;RUN;0;2021-03-21 07:01:16;RUN;0 days 00:00:07
149;LZ-01;10182;2677;213732;2;OPS01;0;2021-03-21 07:13:00;STOP;0 days 00:11:44
150;LZ-01;10182;2677;213732;2;RUN;0;2021-03-21 07:13:07;RUN;0 days 00:00:07
151;LZ-01;10182;2677;213732;2;OGE04;0;2021-03-21 07:15:19;STOP;0 days 00:02:12
152;LZ-01;10182;2682;214112;2;RUN;380;2021-03-21 07:16:11;RUN;0 days 00:00:52
153;LZ-01;10182;2682;214112;2;RUN;0;2021-03-21 07:36:19;RUN;0 days 00:20:08
154;LZ-01;10182;2682;214112;2;OGE02;0;2021-03-21 07:36:20;STOP;0 days 00:00:01
155;LZ-01;10182;0;0;1;RUN;0;2021-03-21 07:52:13;RUN;0 days 00:15:53
156;LZ-01;10182;0;0;1;RUN;0;2021-03-21 07:53:22;RUN;0 days 00:01:09
157;LZ-01;10182;0;0;1;OGE14;0;2021-03-21 08:17:30;STOP;0 days 00:24:08
158;LZ-01;10182;0;0;1;RUN;0;2021-03-21 08:17:36;RUN;0 days 00:00:06
159;LZ-01;10182;0;0;1;OGE04;0;2021-03-21 08:17:40;STOP;0 days 00:00:04
160;LZ-01;10182;0;0;1;RUN;0;2021-03-21 08:17:49;RUN;0 days 00:00:09
161;LZ-01;10182;0;0;1;OGE13;0;2021-03-21 08:22:16;STOP;0 days 00:04:27
162;LZ-01;10182;0;0;1;RUN;0;2021-03-21 08:22:21;RUN;0 days 00:00:05
163;LZ-01;10182;0;0;1;OGE04;0;2021-03-21 08:23:08;STOP;0 days 00:00:47
164;LZ-01;10182;0;0;1;RUN;0;2021-03-21 08:23:22;RUN;0 days 00:00:14
165;LZ-01;10182;0;0;1;OGE04;0;2021-03-21 08:29:57;STOP;0 days 00:06:35
166;LZ-01;10182;30;2306;1;RUN;2306;2021-03-21 08:35:00;RUN;0 days 00:05:03
167;LZ-01;10182;30;2306;1;OGE04;0;2021-03-21 08:44:31;STOP;0 days 00:09:31
168;LZ-01;10182;30;2306;1;RUN;0;2021-03-21 08:44:42;RUN;0 days 00:00:11
169;LZ-01;10182;30;2306;1;OGE04;0;2021-03-21 08:46:05;STOP;0 days 00:01:23
170;LZ-01;10182;30;2767;1;RUN;461;2021-03-21 08:47:04;RUN;0 days 00:00:59
171;LZ-01;10182;30;2767;1;OGE04;0;2021-03-21 08:54:51;STOP;0 days 00:07:47
172;LZ-01;10182;30;2767;1;RUN;0;2021-03-21 08:55:00;RUN;0 days 00:00:09
173;LZ-01;10182;30;2767;1;OGE04;0;2021-03-21 08:57:57;STOP;0 days 00:02:57
174;LZ-01;10182;30;2975;1;RUN;208;2021-03-21 08:58:24;RUN;0 days 00:00:27
175;LZ-01;10182;30;2975;1;OGE13;0;2021-03-21 09:10:21;STOP;0 days 00:11:57
176;LZ-01;10182;30;2975;1;RUN;0;2021-03-21 09:10:29;RUN;0 days 00:00:08
177;LZ-01;10182;30;2975;1;OGE04;0;2021-03-21 09:11:55;STOP;0 days 00:01:26
178;LZ-01;10182;30;3407;1;RUN;432;2021-03-21 09:12:59;RUN;0 days 00:01:04
179;LZ-01;10182;30;3407;1;OGE04;0;2021-03-21 09:16:54;STOP;0 days 00:03:55
180;LZ-01;10182;30;3469;1;RUN;62;2021-03-21 09:17:11;RUN;0 days 00:00:17
181;LZ-01;10182;30;3469;1;OGE04;0;2021-03-21 09:18:12;STOP;0 days 00:01:01
182;LZ-01;10182;30;3469;1;RUN;0;2021-03-21 09:18:17;RUN;0 days 00:00:05
183;LZ-01;10182;30;3469;1;OGE04;0;2021-03-21 09:18:41;STOP;0 days 00:00:24
184;LZ-01;10182;30;3469;1;RUN;0;2021-03-21 09:18:46;RUN;0 days 00:00:05
185;LZ-01;10182;30;3469;1;OGE04;0;2021-03-21 09:19:50;STOP;0 days 00:01:04
186;LZ-01;10182;30;3561;1;RUN;92;2021-03-21 09:19:58;RUN;0 days 00:00:08
187;LZ-01;10182;30;3561;1;OGE04;0;2021-03-21 09:21:35;STOP;0 days 00:01:37
188;LZ-01;10182;30;3578;1;RUN;17;2021-03-21 09:21:44;RUN;0 days 00:00:09
189;LZ-01;10182;30;3578;1;OGE04;0;2021-03-21 09:23:32;STOP;0 days 00:01:48
190;LZ-01;10182;67;4750;1;RUN;1172;2021-03-21 09:26:07;RUN;0 days 00:02:35
191;LZ-01;10182;67;4750;1;OGE04;0;2021-03-21 09:35:05;STOP;0 days 00:08:58
192;LZ-01;10182;67;4750;1;RUN;0;2021-03-21 09:35:10;RUN;0 days 00:00:05
193;LZ-01;10182;67;4750;1;OGE04;0;2021-03-21 09:36:02;STOP;0 days 00:00:52
194;LZ-01;10182;67;4750;1;RUN;0;2021-03-21 09:36:07;RUN;0 days 00:00:05
195;LZ-01;10182;67;4750;1;OGE04;0;2021-03-21 09:38:33;STOP;0 days 00:02:26
196;LZ-01;10182;67;4750;1;RUN;0;2021-03-21 09:38:50;RUN;0 days 00:00:17
197;LZ-01;10182;67;4750;1;OGE04;0;2021-03-21 09:39:54;STOP;0 days 00:01:04
198;LZ-01;10182;113;8062;1;RUN;3312;2021-03-21 09:47:12;RUN;0 days 00:07:18
199;LZ-01;10182;113;8062;1;OGE13;0;2021-03-21 10:10:32;STOP;0 days 00:23:20
200;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:10:37;RUN;0 days 00:00:05
201;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 10:15:00;STOP;0 days 00:04:23
202;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:15:07;RUN;0 days 00:00:07
203;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 10:16:46;STOP;0 days 00:01:39
204;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:16:51;RUN;0 days 00:00:05
205;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 10:19:54;STOP;0 days 00:03:03
206;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:19:59;RUN;0 days 00:00:05
207;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 10:24:16;STOP;0 days 00:04:17
208;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:24:21;RUN;0 days 00:00:05
209;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 10:25:28;STOP;0 days 00:01:07
210;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:25:33;RUN;0 days 00:00:05
211;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 10:26:40;STOP;0 days 00:01:07
212;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:26:48;RUN;0 days 00:00:08
213;LZ-01;10182;113;8062;1;OGE13;0;2021-03-21 10:48:38;STOP;0 days 00:21:50
214;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:48:44;RUN;0 days 00:00:06
215;LZ-01;10182;113;8062;1;OGE13;0;2021-03-21 10:59:24;STOP;0 days 00:10:40
216;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 10:59:30;RUN;0 days 00:00:06
217;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 11:08:01;STOP;0 days 00:08:31
218;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 11:08:06;RUN;0 days 00:00:05
219;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 11:08:35;STOP;0 days 00:00:29
220;LZ-01;10182;113;8062;1;RUN;0;2021-03-21 11:08:40;RUN;0 days 00:00:05
221;LZ-01;10182;113;8062;1;OGE04;0;2021-03-21 11:08:41;STOP;0 days 00:00:01
222;LZ-01;10182;114;8062;1;RUN;0;2021-03-21 11:08:47;RUN;0 days 00:00:06
223;LZ-01;10182;114;8062;1;OGE04;0;2021-03-21 11:09:09;STOP;0 days 00:00:22
224;LZ-01;10182;115;8188;1;RUN;126;2021-03-21 11:09:14;RUN;0 days 00:00:05
225;LZ-01;10182;115;8188;1;OGE04;0;2021-03-21 11:11:06;STOP;0 days 00:01:52
226;LZ-01;10182;115;8188;1;RUN;0;2021-03-21 11:11:18;RUN;0 days 00:00:12
227;LZ-01;10182;115;8188;1;OGE04;0;2021-03-21 11:12:11;STOP;0 days 00:00:53
228;LZ-01;10182;115;8188;1;RUN;0;2021-03-21 11:12:19;RUN;0 days 00:00:08
229;LZ-01;10182;115;8188;1;OGE04;0;2021-03-21 11:13:07;STOP;0 days 00:00:48
230;LZ-01;10182;121;8304;1;RUN;116;2021-03-21 11:14:38;RUN;0 days 00:01:31
231;LZ-01;10182;121;8304;1;OGE04;0;2021-03-21 11:16:09;STOP;0 days 00:01:31
232;LZ-01;10182;121;8369;1;RUN;65;2021-03-21 11:16:24;RUN;0 days 00:00:15
233;LZ-01;10182;121;8369;1;OGE04;0;2021-03-21 11:17:58;STOP;0 days 00:01:34
234;LZ-01;10182;121;8386;1;RUN;17;2021-03-21 11:18:28;RUN;0 days 00:00:30
235;LZ-01;10182;121;8386;1;OGE04;0;2021-03-21 11:24:27;STOP;0 days 00:05:59
236;LZ-01;10182;121;8386;1;RUN;0;2021-03-21 11:24:32;RUN;0 days 00:00:05
237;LZ-01;10182;121;8386;1;OGE04;0;2021-03-21 11:24:55;STOP;0 days 00:00:23
238;LZ-01;10182;121;8386;1;RUN;0;2021-03-21 11:25:00;RUN;0 days 00:00:05
239;LZ-01;10182;121;8386;1;OGE04;0;2021-03-21 11:26:28;STOP;0 days 00:01:28
240;LZ-01;10182;122;8386;1;RUN;0;2021-03-21 11:26:34;RUN;0 days 00:00:06
241;LZ-01;10182;122;8386;1;OGE04;0;2021-03-21 11:27:17;STOP;0 days 00:00:43
242;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:27:29;RUN;0 days 00:00:12
243;LZ-01;10182;126;8386;1;OGE13;0;2021-03-21 11:41:42;STOP;0 days 00:14:13
244;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:41:48;RUN;0 days 00:00:06
245;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:42:05;STOP;0 days 00:00:17
246;LZ-01;10182;126;8386;1;RUN;0;2021-03-21 11:42:11;RUN;0 days 00:00:06
247;LZ-01;10182;126;8386;1;OGE04;0;2021-03-21 11:42:31;STOP;0 days 00:00:20
